;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;motor
92;Peugeot 207 SW Escapade;Flex;19900.0;2009;186.219;Prata;0;Curitiba;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1600.0
93;Ford Ka;Flex;20000.0;2008;94.077;Vermelho;0;Araraquara;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1000.0
94;Fiat Palio Fire;Flex;20900.0;2008;107.0;Preto;0;Sertãozinho;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1000.0
95;Fiat Uno Mille Fire;Flex;20900.0;2007;220.6;Prata;0;Avaré;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
96;Citroën C3 XTR;Flex;20900.0;2007;121.0;Preto;0;São Paulo;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1400.0
97;Fiat Siena Fire;Flex;20900.0;2007;100.0;Prata;0;Suzano;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1000.0
98;Ford Ka;Flex;20990.0;2010;133.0;Vermelho;0;Avaré;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1000.0
99;Citroën Xsara Picasso Exclusive;Flex;21500.0;2009;110.0;Preto;0;São Paulo;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1600.0
100;Renault Clio Hatch. Campus;Flex;21900.0;2010;118.615;Preto;0;Jundiaí;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
101;Chevrolet Classic Life  VHCE;Flex;21900.0;2009;182.0;Bege;0;Mogi Guaçu;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1000.0
102;Ford Fiesta Hatch;Flex;21900.0;2009;153.234;Preto;0;Curitiba;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1000.0
103;Citroën C3 XTR;Flex;21900.0;2007;166.0;Prata;0;Campo Limpo Paulista;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1400.0
104;Fiat Siena Fire;Flex;21900.0;2007;125.0;Azul;0;Suzano;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1000.0
105;Ford Fiesta Hatch First;Flex;21900.0;2006;240.0;Preto;0;Indaiatuba;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1600.0
106;Chevrolet Corsa Sedan;Gasolina;21900.0;2004;233.982;Preto;0;Jundiaí;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1000.0
107;Peugeot 207 Sedan 207 Passion XR;Flex;21990.0;2010;199.886;Prata;0;Barretos;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1400.0
108;Peugeot 207 Hatch XR;Flex;21990.0;2010;113.939;Prata;0;Osasco;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1400.0
109;Citroën C3 GLX;Flex;21990.0;2007;200.755;Preto;0;Campinas;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1400.0
110;Ford Ka;Flex;22000.0;2010;159.6;Preto;0;Itabuna;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1000.0
111;Chevrolet Classic Spirit;Gasolina;22500.0;2009;159.035;Prata;0;Juazeiro do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
112;Renault Clio Authentique;Flex;22900.0;2013;106.0;Preto;0;Araranguá;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1000.0
113;Fiat Uno Mille Fire Economy;Flex;22900.0;2013;105.0;Branco;0;Rio Branco do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
114;Chevrolet Celta LS;Flex;22900.0;2013;121.0;Prata;0;São Bernardo do Campo;1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1000.0
115;Peugeot 207 Hatch XR;Flex;22900.0;2011;113.0;Vermelho;0;Curitiba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1400.0
116;Chevrolet Celta LS;Flex;22900.0;2012;98.836;Vermelho;0;Rio Branco do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
117;Volkswagen Gol;Flex;22900.0;2010;160.536;Cinza;0;Sorocaba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
118;Ford Ka;Flex;22900.0;2011;119.7;Vermelho;0;Tijucas;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1000.0
119;Peugeot 207 Hatch XR;Flex;22900.0;2009;230.0;Preto;0;São José dos Campos;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1400.0
120;Renault Clio Hatch. Campus;Flex;22900.0;2009;141.0;Prata;0;Ribeirão Preto;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1000.0
121;Ford Fiesta Sedan;Flex;22900.0;2009;131.0;Preto;0;Piracicaba;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1000.0
122;Citroën C3 Exclusive;Flex;22900.0;2008;179.0;Vermelho;0;Sorocaba;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1400.0
123;Volkswagen Fox City;Flex;22900.0;2007;201.305;Preto;0;Jacareí;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1000.0
124;Chevrolet Meriva Joy;Flex;22900.0;2006;159.015;Azul;0;Curitiba;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1800.0
125;Peugeot 207 Hatch XR;Flex;22990.0;2012;89.0;Prata;0;Mossoró;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1400.0
126;Peugeot 207 Sedan 207 Passion XR Sport;Flex;22990.0;2011;165.528;Prata;0;Ribeirão Preto;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1400.0
127;Citroën C3 GLX;Flex;22990.0;2007;111.111;Preto;0;Campinas;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1400.0
128;Chevrolet Corsa Sedan;Flex;22990.0;2004;189.472;Cinza;0;Avaré;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1800.0
129;Fiat Siena Fire;Flex;23000.0;2007;248.0;Vermelho;0;Guarulhos;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1000.0
130;Peugeot 207 XR;Flex;23490.0;2010;95.0;Prata;0;São Paulo;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1400.0
131;Ford Ka;Flex;23500.0;2012;112.0;Prata;0;São Paulo;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1000.0
132;Chevrolet Classic Spirit;Flex;23800.0;2008;11.111;Preto;0;Farroupilha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
133;Ford Ka;Flex;23887.0;2011;133.0;Vermelho;0;Sorocaba;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1000.0
134;Fiat Palio Fire;Flex;23900.0;2013;33.0;Branco;0;Passo Fundo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
135;Peugeot 207 Hatch XR;Flex;23900.0;2012;;Prata;0;São Paulo;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;1;1400.0
136;Fiat Uno Vivace;Flex;23900.0;2012;141.214;Preto;0;São Paulo;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1000.0
137;Renault Symbol  Expression;Flex;23900.0;2011;196.546;Prata;0;Curitiba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1600.0
138;Renault Clio;Flex;23900.0;2012;100.0;Branco;0;Porto Alegre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
139;Peugeot 207 Hatch XR;Flex;23900.0;2010;127.336;Preto;0;Curitiba;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1400.0
