modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Fiat Strada Working,Flex,34900.0,2010,129.362,Vermelho,0,Cascavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen Voyage Trend,Flex,29990.0,2009,116.405,Preto,0,Uberlândia,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Chevrolet Meriva Premium,Flex,29700.0,2008,159.511,Prata,1,Curitiba,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1800.0
Fiat Fiorino Furgão,Flex,34700.0,2010,316.332,Branco,0,Curitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.0
Volkswagen Polo Hatch.  E-Flex,Flex,35990.0,2010,140.0,Preto,0,Curitiba,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1600.0
Citroën C3 Tendance,Flex,36900.0,2013,91.427,Prata,0,Aparecida de Goiânia,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1500.0
Peugeot 207 Hatch XR,Flex,26990.0,2012,100.121,Prata,0,Belo Horizonte,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1400.0
Volkswagen Fox  VHT,Flex,34900.0,2012,127.08,Preto,0,Aparecida de Goiânia,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1000.0
Fiat Uno Vivace,Flex,32900.0,2011,153.5,Cinza,0,São Paulo,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Siena EL,Flex,35900.0,2014,110.0,Prata,0,Campo Grande,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Nissan Livina S,Flex,27990.0,2011,206.874,Preto,0,Içara,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1600.0
Peugeot 308 Active  16v,Flex,33200.0,2012,94.0,Branco,0,São João de Meriti,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1600.0
Ford Ka,Flex,25800.0,2008,75.0,Preto,0,São Paulo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Volkswagen Fox,Flex,27900.0,2009,227.17,Preto,0,Goiânia,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1000.0
Volkswagen Voyage  Total Flex,Flex,29800.0,2011,142.568,Branco,0,São José do Rio Preto,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Sandero Expression,Flex,27000.0,2011,150.67,Prata,0,São Paulo,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1600.0
Volkswagen Fox,Flex,34990.0,2011,154.207,Preto,0,Alvorada,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1000.0
Volkswagen Fox  VHT,Flex,37900.0,2012,150.0,Vermelho,0,São Vicente,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1600.0
Volkswagen Polo Hatch.  I-Motion,Flex,38790.0,2012,104.0,Cinza,1,São Paulo,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Chevrolet Prisma  LT,Flex,28900.0,2011,71.5,Vermelho,0,Campos Novos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Nissan March  S,Flex,33900.0,2011,131.285,Branco,0,Brasília,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1000.0
Citroën C3 Exclusive,Flex,27889.0,2011,127.465,Prata,0,São Paulo,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1400.0
Ford Fiesta Hatch,Flex,26000.0,2009,142.0,Verde,0,Palhoça,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1600.0
Fiat Palio Attractive  Evo,Flex,37900.0,2014,99.434,Branco,0,São José dos Campos,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Ford Fiesta Sedan  Rocam,Flex,33500.0,2011,111.111,Prata,0,Jales,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1600.0
Nissan March,Flex,34990.0,2014,76.0,Cinza,0,Belém,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Voyage   TEC Total Flex,Flex,35890.0,2013,100.0,Cinza,0,Campinas,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000.0
Renault Sandero Stepway,Flex,37900.0,2014,104.0,Preto,0,Belém,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Ford Fiesta Hatch Rocam,Flex,29990.0,2013,173.42,Prata,0,Suzano,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1000.0
Nissan Versa  S,Flex,36980.0,2012,140.0,Prata,0,Campinas,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1600.0
Chevrolet Celta LT,Flex,28900.0,2012,136.0,Branco,0,Araranguá,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Volkswagen Up!  E-Flex take up!,Flex,33990.0,2015,196.358,Branco,0,Paulínia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Ford Ka,Flex,24900.0,2012,88.0,Branco,0,Cascavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Fire,Flex,26999.0,2011,178.0,Prata,0,Joinville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Uno Way,Flex,35000.0,2010,148.0,Cinza,0,Sinop,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1400.0
Chevrolet Celta LT,Flex,32900.0,2012,120.36,Prata,0,Osasco,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Siena EL,MultiFlex (Alc,33999.0,2013,100.0,Branco,0,Rio de Janeiro,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1400.0
Volkswagen Fox  VHT,Flex,38900.0,2012,160.0,Branco,0,São Vicente,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
